stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
409,44060,"Ridge Rd & Rosary Ave",,42.827238,-78.816780,1,0
410,44070,"Ridge Rd & Rosary Ave",,42.827509,-78.816401,1,0
411,43511,"Fountain Plaza Station",,42.889300,-78.873260,1,0
412,43974,"Ridge Rd & Langner Rd",,42.828849,-78.781832,1,0
413,43070,"Porter Ave & DaVinci School",,42.902168,-78.890862,1,0
414,42990,"Plymouth Ave & Vermont St",,42.906637,-78.890241,1,0
415,43000,"Plymouth Ave & York St",,42.903300,-78.887083,1,0
416,43001,"6010 Porter Rd",,43.107798,-78.994883,1,0
417,43002,"6000 Porter Rd",,43.107579,-78.995173,1,0
418,43010,"Porter Rd & 29th St",,43.107129,-79.027402,1,0
419,43020,"Porter Rd & 29th St",,43.107179,-79.027041,1,0
420,43030,"Porter Rd & 32nd St",,43.107088,-79.024531,1,0
422,43060,"Porter Ave & Busti Ave",,42.900439,-78.894060,1,0
423,42960,"Plymouth Ave & Pennsylvania Ave",,42.900179,-78.884022,1,0
424,43080,"Porter Ave & Fargo Ave",,42.902417,-78.889932,1,0
425,43090,"Porter Ave & Fargo Ave",,42.902708,-78.889590,1,0
426,43110,"Porter Rd & Hyde Park Blvd",,43.107220,-79.028633,1,0
427,43120,"Porter Ave & Jersey St",,42.902598,-78.885364,1,0
428,43130,"Porter Ave & Jersey St",,42.902670,-78.884480,1,0
429,43150,"Porter Rd & New Rd",,43.107138,-79.006792,1,0
430,43160,"Porter Rd & New Rd",,43.107269,-79.006791,1,0
431,43170,"Porter Ave & Niagara St",,42.901160,-78.892462,1,0
432,43040,"Porter Rd & 32nd St",,43.107168,-79.024211,1,0
433,42862,"Pineview Dr & North French Rd",,43.034509,-78.801861,1,0
